module-method	module-index	orig-pval	revised-pvalue	num-targets	num-regulators	regulator-names	target-names	num-samples	num-genes	num-class1	num-class2
LM 1	7	0.0891	0.0891	281	1	PRDM13	g5, g7, g9, g14, g17, g18, g20, g24, g29, g31, g44, g55, g57, g66, g67, g72, g81, g82, g89, g91, g102, g103, g107, g119, g123, g124, g128, g129, g131, g140, g144, g148, g151, g152, g154, g157, g158, g159, g174, g186, g190, g205, g206, g207, g208, g209, g210, g211, g212, g213, g214, g215, g216, g217, g218, g219, g220, g221, g222, g223, g224, g225, g226, g227, g228, g229, g230, g231, g232, g233, g234, g235, g236, g237, g238, g239, g240, g241, g242, g243, g244, g245, g246, g247, g248, g249, g250, g251, g252, g253, g254, g255, g256, g257, g258, g259, g260, g261, g262, g263, g264, g265, g266, g267, g268, g269, g270, g271, g272, g273, g274, g275, g276, g277, g278, g279, g280, g281, g282, g283, g284, g285, g286, g287, g288, g289, g290, g291, g292, g293, g294, g295, g296, g297, g298, g299, g300, g301, g302, g303, g304, g305, g306, g307, g308, g309, g310, g311, g312, g313, g314, g315, g316, g317, g318, g319, g321, g322, g323, g324, g325, g326, g327, g328, g329, g330, g331, g332, g333, g334, g335, g336, g337, g338, g339, g340, g341, g342, g343, g344, g345, g346, g347, g348, g349, g350, g351, g352, g353, g354, g355, g356, g357, g358, g359, g360, g361, g362, g363, g364, g365, g366, g367, g368, g369, g370, g371, g372, g373, g374, g375, g376, g377, g378, g379, g380, g381, g382, g383, g384, g385, g386, g387, g388, g389, g390, g391, g392, g393, g394, g395, g396, g397, g398, g399, g400, g401, g402, g403, g404, g628, g637, g661, g666, g694, g704, g711, g719, g729, g743, g1161, g1162, g1164, g1188, g1194, g1199, g1209, g1214, g1220, g1243, g1244, g1247, g1250, g1254, g1264, g1271, g1280, g1288, g1289, g1295, g1305, g1329, g1338, g1340, g1352, g1355, g1420, g1442, g1474, g1511, g1811	46	282	17	29
LM 1	2	0.0693	0.0959	303	1	PRDM13	g5, g11, g24, g72, g205, g206, g207, g208, g209, g210, g211, g212, g213, g214, g215, g216, g217, g218, g219, g220, g221, g222, g223, g224, g225, g226, g227, g228, g229, g230, g231, g232, g233, g234, g236, g237, g238, g239, g240, g241, g242, g243, g244, g245, g246, g247, g248, g249, g250, g251, g252, g253, g254, g255, g256, g257, g258, g259, g260, g261, g262, g263, g264, g265, g266, g267, g268, g269, g270, g271, g272, g273, g274, g275, g276, g277, g278, g279, g280, g281, g282, g283, g284, g285, g286, g287, g288, g289, g290, g291, g292, g293, g294, g295, g296, g297, g298, g299, g300, g301, g302, g303, g304, g305, g306, g307, g308, g309, g310, g311, g312, g313, g314, g315, g316, g317, g318, g319, g320, g321, g322, g323, g324, g325, g326, g327, g328, g329, g330, g331, g332, g333, g334, g335, g336, g337, g338, g339, g340, g341, g342, g343, g344, g345, g346, g347, g348, g349, g350, g351, g352, g353, g354, g355, g356, g357, g358, g359, g360, g361, g362, g363, g364, g365, g366, g367, g368, g369, g370, g371, g372, g373, g374, g375, g376, g377, g378, g379, g380, g381, g382, g383, g384, g385, g386, g387, g388, g389, g390, g391, g392, g393, g394, g395, g396, g397, g398, g399, g400, g401, g402, g403, g404, g602, g613, g661, g666, g667, g677, g683, g687, g689, g701, g704, g719, g730, g763, g766, g772, g1128, g1161, g1162, g1164, g1167, g1171, g1178, g1188, g1199, g1200, g1209, g1211, g1215, g1216, g1217, g1219, g1227, g1228, g1231, g1236, g1237, g1243, g1246, g1247, g1249, g1253, g1254, g1263, g1264, g1265, g1276, g1277, g1280, g1281, g1284, g1285, g1288, g1289, g1295, g1296, g1302, g1305, g1308, g1309, g1310, g1311, g1319, g1322, g1326, g1329, g1330, g1336, g1338, g1340, g1341, g1350, g1352, g1355, g1362, g1377, g1378, g1393, g1406, g1416, g1417, g1420, g1423, g1431, g1435, g1460, g1463, g1474, g1480, g1482, g1487, g1488, g1495, g1505, g1539, g1542, g1543, g1549, g1554, g1558	46	304	17	29
LM 1	14	0.109	0.109	380	1	PRDM13	g3, g4, g5, g6, g7, g9, g14, g17, g20, g21, g24, g27, g29, g31, g33, g34, g36, g44, g45, g55, g67, g72, g75, g76, g82, g86, g88, g89, g91, g95, g102, g103, g104, g106, g108, g110, g119, g123, g124, g128, g130, g132, g134, g136, g141, g143, g144, g145, g147, g151, g152, g153, g154, g157, g158, g159, g161, g162, g169, g171, g176, g179, g181, g183, g187, g188, g199, g204, g205, g206, g207, g208, g209, g210, g211, g212, g213, g214, g215, g216, g217, g218, g219, g220, g221, g222, g223, g224, g225, g226, g227, g228, g229, g230, g231, g232, g233, g234, g235, g236, g237, g238, g239, g240, g241, g242, g243, g245, g246, g247, g248, g249, g250, g251, g252, g253, g254, g255, g256, g257, g258, g259, g260, g261, g262, g263, g264, g265, g266, g267, g268, g269, g270, g271, g272, g273, g274, g275, g276, g277, g278, g279, g280, g281, g282, g283, g284, g285, g286, g287, g288, g289, g290, g291, g292, g293, g294, g295, g296, g297, g298, g299, g300, g301, g302, g303, g304, g305, g306, g307, g308, g309, g310, g311, g312, g313, g314, g315, g316, g317, g318, g319, g320, g321, g322, g323, g324, g325, g326, g327, g328, g329, g330, g331, g332, g333, g334, g335, g336, g337, g338, g339, g340, g341, g342, g343, g344, g345, g346, g347, g348, g349, g350, g351, g352, g353, g354, g355, g356, g357, g358, g359, g360, g361, g362, g363, g364, g365, g366, g367, g368, g369, g370, g371, g372, g373, g374, g375, g376, g377, g378, g379, g380, g381, g382, g383, g384, g385, g386, g387, g388, g389, g390, g391, g392, g393, g394, g395, g396, g397, g398, g399, g400, g401, g402, g403, g404, g623, g628, g635, g637, g661, g666, g667, g673, g677, g688, g689, g701, g704, g707, g711, g719, g728, g729, g730, g737, g739, g747, g754, g755, g772, g774, g781, g1161, g1162, g1164, g1167, g1171, g1177, g1178, g1182, g1185, g1186, g1188, g1189, g1194, g1196, g1197, g1199, g1200, g1205, g1206, g1209, g1210, g1211, g1212, g1214, g1215, g1216, g1217, g1219, g1227, g1228, g1231, g1236, g1237, g1240, g1243, g1246, g1247, g1249, g1250, g1253, g1254, g1258, g1263, g1264, g1265, g1267, g1272, g1276, g1277, g1280, g1285, g1289, g1292, g1293, g1295, g1296, g1298, g1302, g1305, g1306, g1308, g1310, g1317, g1320, g1322, g1326, g1329, g1330, g1331, g1338, g1340, g1342, g1350, g1352, g1355, g1358, g1378, g1401, g1420, g1434, g1442, g1454, g1474, g1494, g1511, g1811	46	381	17	29
LM 1	4	0.139	0.139	333	1	ZNF479	g1, g411, g609, g615, g616, g617, g632, g634, g636, g637, g639, g641, g642, g646, g648, g651, g653, g654, g663, g664, g665, g675, g676, g682, g685, g686, g688, g694, g709, g710, g712, g714, g717, g718, g721, g725, g729, g735, g736, g739, g742, g743, g746, g748, g749, g750, g758, g760, g774, g776, g782, g784, g1360, g1361, g1366, g1367, g1368, g1370, g1373, g1375, g1376, g1379, g1380, g1381, g1382, g1385, g1386, g1387, g1388, g1389, g1394, g1396, g1398, g1399, g1403, g1405, g1410, g1411, g1412, g1413, g1414, g1421, g1424, g1425, g1426, g1427, g1429, g1436, g1439, g1445, g1446, g1447, g1449, g1452, g1455, g1456, g1458, g1459, g1461, g1466, g1467, g1468, g1473, g1477, g1478, g1481, g1483, g1484, g1485, g1489, g1496, g1499, g1500, g1502, g1503, g1506, g1507, g1513, g1514, g1516, g1518, g1521, g1523, g1528, g1529, g1530, g1531, g1534, g1535, g1536, g1545, g1547, g1550, g1555, g1557, g1559, g1758, g1759, g1760, g1761, g1762, g1763, g1764, g1765, g1766, g1767, g1768, g1769, g1770, g1771, g1772, g1773, g1774, g1775, g1776, g1777, g1778, g1779, g1780, g1781, g1782, g1783, g1784, g1785, g1786, g1787, g1788, g1789, g1790, g1791, g1792, g1793, g1794, g1795, g1796, g1797, g1798, g1799, g1800, g1801, g1802, g1803, g1804, g1805, g1806, g1807, g1808, g1809, g1810, g1811, g1812, g1813, g1814, g1815, g1816, g1817, g1818, g1819, g1820, g1821, g1822, g1823, g1824, g1825, g1826, g1827, g1828, g1829, g1830, g1831, g1832, g1833, g1834, g1835, g1836, g1837, g1838, g1839, g1840, g1841, g1842, g1843, g1844, g1845, g1846, g1847, g1848, g1849, g1850, g1851, g1852, g1853, g1854, g1855, g1856, g1857, g1858, g1859, g1860, g1861, g1862, g1863, g1864, g1865, g1866, g1867, g1868, g1869, g1870, g1871, g1872, g1873, g1874, g1875, g1876, g1877, g1878, g1879, g1880, g1881, g1882, g1883, g1884, g1885, g1886, g1887, g1888, g1889, g1890, g1891, g1892, g1893, g1894, g1895, g1896, g1897, g1898, g1899, g1900, g1901, g1902, g1903, g1904, g1905, g1906, g1907, g1908, g1909, g1910, g1911, g1912, g1913, g1914, g1915, g1916, g1917, g1918, g1919, g1920, g1921, g1922, g1923, g1924, g1925, g1926, g1927, g1928, g1929, g1930, g1931, g1932, g1933, g1934, g1935, g1936, g1937, g1938, g1939, g1940, g1941, g1942, g1943, g1944, g1945, g1946, g1947, g1948, g1949, g1950, g1951, g1952, g1953, g1954	46	334	17	29
LM 1	36	0.139	0.139	203	1	ISL1	g924, g955, g957, g1154, g1494, g1544, g1561, g1562, g1563, g1564, g1565, g1566, g1567, g1568, g1569, g1570, g1571, g1572, g1573, g1574, g1575, g1576, g1577, g1578, g1579, g1580, g1581, g1582, g1583, g1584, g1585, g1586, g1587, g1588, g1589, g1590, g1591, g1592, g1593, g1594, g1595, g1596, g1597, g1598, g1599, g1600, g1601, g1602, g1603, g1604, g1605, g1606, g1607, g1608, g1609, g1610, g1611, g1612, g1613, g1614, g1615, g1616, g1617, g1618, g1619, g1620, g1621, g1622, g1623, g1624, g1625, g1626, g1627, g1628, g1629, g1630, g1631, g1632, g1633, g1634, g1635, g1636, g1637, g1638, g1639, g1640, g1641, g1642, g1643, g1644, g1645, g1646, g1647, g1648, g1649, g1650, g1651, g1652, g1653, g1654, g1655, g1656, g1657, g1658, g1659, g1660, g1661, g1662, g1663, g1664, g1665, g1666, g1667, g1668, g1669, g1670, g1671, g1672, g1673, g1674, g1675, g1676, g1677, g1678, g1679, g1680, g1681, g1682, g1683, g1684, g1685, g1686, g1687, g1688, g1689, g1690, g1691, g1692, g1693, g1694, g1695, g1696, g1697, g1698, g1699, g1700, g1701, g1702, g1703, g1704, g1705, g1706, g1707, g1708, g1709, g1710, g1711, g1712, g1713, g1714, g1715, g1716, g1717, g1718, g1719, g1720, g1721, g1722, g1723, g1724, g1725, g1726, g1727, g1728, g1729, g1730, g1731, g1732, g1733, g1734, g1735, g1736, g1737, g1738, g1739, g1740, g1741, g1742, g1743, g1744, g1745, g1746, g1747, g1748, g1749, g1750, g1751, g1752, g1753, g1754, g1755, g1756, g1757	46	204	17	29
LM 1	6	0.158	0.158	229	1	ISL1	g10, g470, g605, g626, g633, g657, g658, g670, g684, g692, g697, g698, g773, g781, g1282, g1292, g1323, g1342, g1359, g1364, g1384, g1397, g1407, g1418, g1444, g1453, g1476, g1515, g1517, g1519, g1538, g1544, g1561, g1562, g1563, g1564, g1565, g1566, g1567, g1568, g1569, g1570, g1571, g1572, g1573, g1574, g1575, g1576, g1577, g1578, g1579, g1580, g1581, g1582, g1583, g1584, g1585, g1586, g1587, g1588, g1589, g1590, g1591, g1592, g1593, g1594, g1595, g1596, g1597, g1598, g1599, g1600, g1601, g1602, g1603, g1604, g1605, g1606, g1607, g1608, g1609, g1610, g1611, g1612, g1613, g1614, g1615, g1616, g1617, g1618, g1619, g1620, g1621, g1622, g1623, g1624, g1625, g1626, g1627, g1628, g1629, g1630, g1631, g1632, g1633, g1634, g1635, g1636, g1637, g1638, g1639, g1640, g1641, g1642, g1643, g1644, g1645, g1646, g1647, g1648, g1649, g1650, g1651, g1652, g1653, g1654, g1655, g1656, g1657, g1658, g1659, g1660, g1661, g1662, g1663, g1664, g1665, g1666, g1667, g1668, g1669, g1670, g1671, g1672, g1673, g1674, g1675, g1676, g1677, g1678, g1679, g1680, g1681, g1682, g1683, g1684, g1685, g1686, g1687, g1688, g1689, g1690, g1691, g1692, g1693, g1694, g1695, g1696, g1697, g1698, g1699, g1700, g1701, g1702, g1703, g1704, g1705, g1706, g1707, g1708, g1709, g1710, g1711, g1712, g1713, g1714, g1715, g1716, g1717, g1718, g1719, g1720, g1721, g1722, g1723, g1724, g1725, g1726, g1727, g1728, g1729, g1730, g1731, g1732, g1733, g1734, g1735, g1736, g1737, g1738, g1739, g1740, g1741, g1742, g1743, g1744, g1745, g1746, g1747, g1748, g1749, g1750, g1751, g1752, g1753, g1754, g1755, g1756, g1757	46	230	17	29
LM 1	15	0.208	0.208	317	1	ISL1	g10, g13, g18, g22, g23, g28, g32, g35, g37, g38, g39, g42, g48, g51, g53, g54, g57, g62, g63, g68, g74, g81, g83, g84, g85, g90, g93, g96, g98, g101, g109, g113, g120, g122, g131, g142, g148, g160, g165, g167, g168, g170, g173, g174, g177, g180, g182, g192, g193, g195, g197, g200, g203, g420, g426, g430, g437, g440, g442, g445, g450, g460, g461, g468, g470, g471, g478, g487, g488, g498, g502, g507, g510, g531, g536, g547, g559, g593, g594, g595, g598, g601, g605, g606, g614, g624, g625, g629, g633, g642, g648, g657, g670, g672, g674, g684, g692, g694, g697, g698, g703, g708, g721, g726, g745, g748, g750, g751, g764, g769, g773, g785, g1191, g1241, g1283, g1299, g1303, g1364, g1517, g1544, g1561, g1562, g1563, g1564, g1565, g1566, g1567, g1568, g1569, g1570, g1571, g1572, g1573, g1574, g1575, g1576, g1577, g1578, g1579, g1580, g1581, g1582, g1583, g1584, g1585, g1586, g1587, g1588, g1589, g1590, g1591, g1592, g1593, g1594, g1595, g1596, g1597, g1598, g1599, g1600, g1601, g1602, g1603, g1604, g1605, g1606, g1607, g1608, g1609, g1610, g1611, g1612, g1613, g1614, g1615, g1616, g1617, g1618, g1619, g1620, g1621, g1622, g1623, g1624, g1625, g1626, g1627, g1628, g1629, g1630, g1631, g1632, g1633, g1634, g1635, g1636, g1637, g1638, g1639, g1640, g1641, g1642, g1643, g1644, g1645, g1646, g1647, g1648, g1649, g1650, g1651, g1652, g1653, g1654, g1655, g1656, g1657, g1658, g1659, g1660, g1661, g1662, g1663, g1664, g1665, g1666, g1667, g1668, g1669, g1670, g1671, g1672, g1673, g1674, g1675, g1676, g1677, g1678, g1679, g1680, g1681, g1682, g1683, g1684, g1685, g1686, g1687, g1688, g1689, g1690, g1691, g1692, g1693, g1694, g1695, g1696, g1697, g1698, g1699, g1700, g1701, g1702, g1703, g1704, g1705, g1706, g1707, g1708, g1709, g1710, g1711, g1712, g1713, g1714, g1715, g1716, g1717, g1718, g1719, g1720, g1721, g1722, g1723, g1724, g1725, g1726, g1727, g1728, g1729, g1730, g1731, g1732, g1733, g1734, g1735, g1736, g1737, g1738, g1739, g1740, g1741, g1742, g1743, g1744, g1745, g1746, g1747, g1748, g1749, g1750, g1751, g1752, g1753, g1754, g1755, g1756, g1757	46	318	17	29
LM 1	21	0.208	0.208	235	1	PRDM13	g5, g24, g205, g206, g207, g208, g209, g210, g211, g212, g213, g214, g215, g216, g217, g218, g219, g220, g221, g222, g223, g224, g225, g226, g227, g228, g229, g230, g231, g232, g233, g234, g235, g236, g237, g238, g239, g240, g241, g242, g243, g244, g245, g246, g247, g248, g249, g250, g251, g252, g253, g254, g255, g256, g257, g258, g259, g260, g261, g262, g263, g264, g265, g266, g267, g268, g269, g270, g271, g272, g273, g274, g275, g276, g277, g278, g279, g280, g281, g282, g283, g284, g285, g286, g287, g288, g289, g290, g291, g292, g293, g294, g295, g296, g297, g298, g299, g300, g301, g302, g303, g304, g305, g306, g307, g308, g309, g310, g311, g312, g313, g314, g315, g316, g317, g318, g319, g320, g321, g322, g323, g324, g325, g326, g327, g328, g329, g330, g331, g332, g333, g334, g335, g336, g337, g338, g339, g340, g341, g342, g343, g344, g345, g346, g347, g348, g349, g350, g351, g352, g353, g354, g355, g356, g357, g358, g359, g360, g361, g362, g363, g364, g365, g366, g367, g368, g369, g370, g371, g372, g373, g374, g375, g376, g377, g378, g379, g380, g381, g382, g383, g384, g385, g386, g387, g388, g389, g390, g391, g392, g393, g394, g395, g396, g397, g398, g399, g400, g401, g402, g403, g404, g1154, g1164, g1186, g1188, g1199, g1206, g1209, g1216, g1217, g1227, g1246, g1247, g1249, g1253, g1254, g1263, g1280, g1289, g1293, g1295, g1297, g1306, g1308, g1311, g1315, g1319, g1320, g1338, g1352, g1355, g1474, g1511, g1549	46	236	17	29
LM 1	12	0.218	0.218	297	1	AHR	g6, g8, g11, g15, g19, g21, g25, g26, g28, g30, g36, g45, g46, g48, g49, g51, g52, g56, g58, g61, g62, g65, g68, g69, g70, g71, g73, g76, g79, g83, g87, g88, g93, g97, g105, g113, g114, g118, g120, g133, g137, g143, g146, g163, g168, g177, g183, g185, g191, g192, g196, g202, g320, g405, g438, g439, g484, g497, g501, g523, g533, g540, g542, g546, g554, g568, g602, g626, g653, g654, g682, g683, g708, g734, g744, g1159, g1165, g1174, g1180, g1183, g1203, g1206, g1216, g1218, g1224, g1232, g1235, g1269, g1291, g1300, g1315, g1317, g1319, g1320, g1331, g1335, g1336, g1356, g1358, g1359, g1360, g1361, g1362, g1363, g1364, g1365, g1366, g1367, g1368, g1369, g1370, g1371, g1372, g1373, g1374, g1375, g1376, g1377, g1378, g1379, g1380, g1381, g1382, g1383, g1384, g1385, g1386, g1387, g1388, g1389, g1390, g1391, g1392, g1393, g1394, g1395, g1396, g1397, g1398, g1399, g1400, g1401, g1402, g1403, g1404, g1405, g1406, g1407, g1408, g1409, g1410, g1411, g1412, g1413, g1414, g1415, g1416, g1417, g1418, g1419, g1421, g1422, g1423, g1424, g1425, g1426, g1427, g1428, g1429, g1430, g1431, g1432, g1433, g1434, g1435, g1436, g1437, g1438, g1439, g1440, g1441, g1443, g1444, g1445, g1446, g1447, g1448, g1449, g1450, g1451, g1452, g1453, g1454, g1455, g1456, g1457, g1458, g1459, g1460, g1461, g1462, g1463, g1464, g1465, g1466, g1467, g1468, g1469, g1470, g1471, g1472, g1473, g1475, g1476, g1477, g1478, g1479, g1480, g1481, g1482, g1483, g1484, g1485, g1486, g1487, g1488, g1489, g1490, g1491, g1492, g1493, g1494, g1495, g1496, g1497, g1498, g1499, g1500, g1501, g1502, g1503, g1504, g1505, g1506, g1507, g1508, g1509, g1510, g1512, g1513, g1514, g1515, g1516, g1517, g1518, g1519, g1520, g1521, g1522, g1523, g1524, g1525, g1526, g1527, g1528, g1529, g1530, g1531, g1532, g1533, g1534, g1535, g1536, g1537, g1538, g1539, g1540, g1541, g1542, g1543, g1544, g1545, g1546, g1547, g1548, g1549, g1550, g1551, g1552, g1553, g1554, g1555, g1556, g1557, g1558, g1559, g1560	46	298	17	29
LM 1	30	0.218	0.218	200	1	AHR	g244, g399, g734, g1358, g1359, g1360, g1361, g1362, g1363, g1364, g1365, g1366, g1367, g1368, g1369, g1370, g1371, g1372, g1373, g1374, g1375, g1376, g1377, g1378, g1379, g1380, g1381, g1382, g1383, g1384, g1385, g1386, g1387, g1388, g1389, g1390, g1391, g1392, g1393, g1394, g1395, g1396, g1397, g1398, g1399, g1400, g1401, g1402, g1403, g1404, g1405, g1406, g1407, g1408, g1409, g1410, g1411, g1412, g1413, g1414, g1415, g1416, g1417, g1418, g1419, g1421, g1422, g1423, g1424, g1425, g1426, g1428, g1429, g1430, g1431, g1432, g1433, g1434, g1435, g1436, g1437, g1438, g1439, g1440, g1441, g1442, g1443, g1444, g1445, g1446, g1447, g1448, g1449, g1450, g1451, g1452, g1453, g1454, g1455, g1456, g1457, g1458, g1459, g1460, g1461, g1462, g1463, g1464, g1465, g1466, g1467, g1468, g1469, g1470, g1471, g1472, g1473, g1475, g1476, g1477, g1478, g1479, g1480, g1481, g1482, g1483, g1484, g1485, g1486, g1487, g1488, g1489, g1490, g1491, g1492, g1493, g1495, g1496, g1497, g1498, g1499, g1500, g1501, g1502, g1503, g1504, g1505, g1506, g1507, g1508, g1509, g1510, g1511, g1512, g1513, g1514, g1515, g1516, g1517, g1518, g1519, g1520, g1521, g1522, g1523, g1524, g1525, g1526, g1527, g1528, g1529, g1530, g1531, g1532, g1533, g1534, g1535, g1536, g1537, g1538, g1539, g1540, g1541, g1542, g1543, g1545, g1546, g1547, g1548, g1550, g1551, g1552, g1553, g1554, g1555, g1556, g1557, g1558, g1559, g1560	46	201	17	29
LM 1	27	0.228	0.228	209	1	ISL1	g437, g460, g544, g571, g583, g594, g1156, g1191, g1205, g1282, g1492, g1517, g1561, g1562, g1563, g1564, g1565, g1566, g1567, g1568, g1569, g1570, g1571, g1572, g1573, g1574, g1575, g1576, g1577, g1578, g1579, g1580, g1581, g1582, g1583, g1584, g1585, g1586, g1587, g1588, g1589, g1590, g1591, g1592, g1593, g1594, g1595, g1596, g1597, g1598, g1599, g1600, g1601, g1602, g1603, g1604, g1605, g1606, g1607, g1608, g1609, g1610, g1611, g1612, g1613, g1614, g1615, g1616, g1617, g1618, g1619, g1620, g1621, g1622, g1623, g1624, g1625, g1626, g1627, g1628, g1629, g1630, g1631, g1632, g1633, g1634, g1635, g1636, g1637, g1638, g1639, g1640, g1641, g1642, g1643, g1644, g1645, g1646, g1647, g1648, g1649, g1650, g1651, g1652, g1653, g1654, g1655, g1656, g1657, g1658, g1659, g1660, g1661, g1662, g1663, g1664, g1665, g1666, g1667, g1668, g1669, g1670, g1671, g1672, g1673, g1674, g1675, g1676, g1677, g1678, g1679, g1680, g1681, g1682, g1683, g1684, g1685, g1686, g1687, g1688, g1689, g1690, g1691, g1692, g1693, g1694, g1695, g1696, g1697, g1698, g1699, g1700, g1701, g1702, g1703, g1704, g1705, g1706, g1707, g1708, g1709, g1710, g1711, g1712, g1713, g1714, g1715, g1716, g1717, g1718, g1719, g1720, g1721, g1722, g1723, g1724, g1725, g1726, g1727, g1728, g1729, g1730, g1731, g1732, g1733, g1734, g1735, g1736, g1737, g1738, g1739, g1740, g1741, g1742, g1743, g1744, g1745, g1746, g1747, g1748, g1749, g1750, g1751, g1752, g1753, g1754, g1755, g1756, g1757	46	210	17	29
LM 1	8	0.238	0.238	354	1	FOXD3	g2, g3, g4, g12, g13, g22, g27, g33, g38, g41, g42, g43, g47, g54, g59, g60, g64, g77, g80, g85, g86, g90, g92, g94, g95, g96, g99, g101, g106, g109, g116, g117, g125, g127, g130, g134, g135, g138, g149, g150, g153, g155, g156, g160, g161, g162, g164, g166, g167, g169, g175, g176, g178, g180, g181, g184, g188, g189, g193, g194, g198, g199, g201, g409, g424, g427, g462, g463, g475, g495, g503, g515, g519, g524, g530, g547, g557, g562, g567, g597, g606, g608, g609, g614, g616, g617, g621, g625, g627, g629, g630, g634, g635, g636, g639, g640, g641, g643, g644, g646, g650, g658, g659, g662, g668, g671, g672, g673, g674, g678, g679, g690, g691, g693, g695, g696, g697, g700, g705, g709, g712, g717, g722, g723, g724, g726, g728, g730, g731, g738, g740, g741, g746, g759, g760, g768, g769, g770, g779, g780, g784, g810, g965, g966, g967, g968, g969, g970, g971, g972, g973, g974, g975, g976, g977, g978, g979, g980, g981, g982, g983, g984, g985, g986, g987, g988, g989, g990, g991, g992, g993, g994, g995, g996, g997, g998, g999, g1000, g1001, g1002, g1003, g1004, g1005, g1006, g1007, g1008, g1009, g1010, g1011, g1012, g1013, g1014, g1015, g1016, g1017, g1018, g1019, g1020, g1021, g1022, g1023, g1024, g1025, g1026, g1027, g1028, g1029, g1030, g1031, g1032, g1033, g1034, g1035, g1036, g1037, g1038, g1039, g1040, g1041, g1042, g1043, g1044, g1045, g1046, g1047, g1048, g1049, g1050, g1051, g1052, g1053, g1054, g1055, g1056, g1057, g1058, g1059, g1060, g1061, g1062, g1063, g1064, g1065, g1066, g1067, g1068, g1069, g1070, g1071, g1072, g1073, g1074, g1075, g1076, g1077, g1078, g1079, g1080, g1081, g1082, g1083, g1084, g1085, g1086, g1087, g1088, g1089, g1090, g1091, g1092, g1093, g1094, g1095, g1096, g1097, g1098, g1099, g1100, g1101, g1102, g1103, g1104, g1105, g1106, g1107, g1108, g1109, g1110, g1111, g1112, g1113, g1114, g1115, g1116, g1117, g1118, g1119, g1120, g1121, g1122, g1123, g1124, g1125, g1126, g1127, g1128, g1129, g1130, g1131, g1132, g1133, g1134, g1135, g1136, g1137, g1138, g1139, g1140, g1141, g1142, g1143, g1144, g1145, g1146, g1147, g1148, g1149, g1150, g1151, g1152, g1153, g1155, g1156, g1166, g1167, g1168, g1177, g1181, g1192, g1196, g1205, g1211, g1242, g1248, g1263, g1274, g1278, g1281, g1292, g1309, g1321, g1347, g1350, g1351	46	355	17	29
LM 1	9	0.277	0.277	308	1	ZNF479	g1, g32, g78, g98, g112, g115, g126, g141, g147, g179, g415, g422, g423, g425, g429, g436, g459, g474, g479, g481, g483, g489, g490, g494, g496, g504, g506, g508, g511, g517, g522, g527, g528, g529, g537, g538, g539, g548, g551, g552, g558, g561, g571, g572, g574, g577, g579, g580, g581, g586, g588, g589, g590, g596, g603, g604, g607, g612, g615, g620, g624, g631, g632, g642, g647, g648, g649, g651, g652, g655, g660, g663, g664, g665, g669, g675, g676, g680, g681, g685, g686, g687, g688, g689, g701, g702, g707, g710, g713, g714, g718, g721, g725, g736, g739, g742, g745, g748, g749, g752, g753, g755, g758, g762, g763, g766, g767, g774, g777, g782, g783, g1154, g1758, g1759, g1760, g1761, g1762, g1763, g1764, g1765, g1766, g1767, g1768, g1769, g1770, g1771, g1772, g1773, g1774, g1775, g1776, g1777, g1778, g1779, g1780, g1781, g1782, g1783, g1784, g1785, g1786, g1787, g1788, g1789, g1790, g1791, g1792, g1793, g1794, g1795, g1796, g1797, g1798, g1799, g1800, g1801, g1802, g1803, g1804, g1805, g1806, g1807, g1808, g1809, g1810, g1812, g1813, g1814, g1815, g1816, g1817, g1818, g1819, g1820, g1821, g1822, g1823, g1824, g1825, g1826, g1827, g1828, g1829, g1830, g1831, g1832, g1833, g1834, g1835, g1836, g1837, g1838, g1839, g1840, g1841, g1842, g1843, g1844, g1845, g1846, g1847, g1848, g1849, g1850, g1851, g1852, g1853, g1854, g1855, g1856, g1857, g1858, g1859, g1860, g1861, g1862, g1863, g1864, g1865, g1866, g1867, g1868, g1869, g1870, g1871, g1872, g1873, g1874, g1875, g1876, g1877, g1878, g1879, g1880, g1881, g1882, g1883, g1884, g1885, g1886, g1887, g1888, g1889, g1890, g1891, g1892, g1893, g1894, g1895, g1896, g1897, g1898, g1899, g1900, g1901, g1902, g1903, g1904, g1905, g1906, g1907, g1908, g1909, g1910, g1911, g1912, g1913, g1914, g1915, g1916, g1917, g1918, g1919, g1920, g1921, g1922, g1923, g1924, g1925, g1926, g1927, g1928, g1929, g1930, g1931, g1932, g1933, g1934, g1935, g1936, g1937, g1938, g1939, g1940, g1941, g1942, g1943, g1944, g1945, g1946, g1947, g1948, g1949, g1950, g1951, g1952, g1953, g1954	46	309	17	29
