user_gene_set	property_gene_set	universe_count	user_count	property_count	overlap_count	pval
LASSOmin.1.mod.11	LASSOmin.1.mod.23	2004	243	172	17	0.0668
LASSOmin.1.mod.11	LASSOmin.1.mod.45	2004	243	181	19	0.101
LASSOmin.1.mod.38	LASSOmin.1.mod.4	2004	330	152	125	79.6
LASSOmin.1.mod.19	LASSOmin.1.mod.38	2004	150	330	125	81
LASSOmin.1.mod.23	LASSOmin.1.mod.38	2004	172	330	139	87.8
LASSOmin.1.mod.38	LASSOmin.1.mod.45	2004	330	181	144	89.6
LASSOmin.1.mod.19	LASSOmin.1.mod.4	2004	150	152	132	162
LASSOmin.1.mod.19	LASSOmin.1.mod.45	2004	150	181	145	178
LASSOmin.1.mod.19	LASSOmin.1.mod.23	2004	150	172	144	181
LASSOmin.1.mod.4	LASSOmin.1.mod.45	2004	152	181	148	184
LASSOmin.1.mod.23	LASSOmin.1.mod.4	2004	172	152	147	188
LASSOmin.1.mod.12	LASSOmin.1.mod.9	2004	238	214	200	215
LASSOmin.1.mod.12	LASSOmin.1.mod.42	2004	238	204	196	216
LASSOmin.1.mod.37	LASSOmin.1.mod.9	2004	238	214	202	221
LASSOmin.1.mod.37	LASSOmin.1.mod.42	2004	238	204	198	223
LASSOmin.1.mod.11	LASSOmin.1.mod.41	2004	243	219	207	225
LASSOmin.1.mod.1	LASSOmin.1.mod.41	2004	215	219	199	228
LASSOmin.1.mod.19	LASSOmin.1.mod.19	2004	150	150	150	230
LASSOmin.1.mod.42	LASSOmin.1.mod.9	2004	204	214	194	231
LASSOmin.1.mod.4	LASSOmin.1.mod.4	2004	152	152	152	232
LASSOmin.1.mod.1	LASSOmin.1.mod.21	2004	215	220	201	233
LASSOmin.1.mod.12	LASSOmin.1.mod.22	2004	238	214	206	233
LASSOmin.1.mod.23	LASSOmin.1.mod.45	2004	172	181	171	234
LASSOmin.1.mod.31	LASSOmin.1.mod.41	2004	218	219	202	234
LASSOmin.1.mod.1	LASSOmin.1.mod.11	2004	215	243	209	237
LASSOmin.1.mod.1	LASSOmin.1.mod.31	2004	215	218	202	239
LASSOmin.1.mod.22	LASSOmin.1.mod.37	2004	214	238	208	239
LASSOmin.1.mod.12	LASSOmin.1.mod.37	2004	238	238	218	240
LASSOmin.1.mod.11	LASSOmin.1.mod.21	2004	243	220	213	242
LASSOmin.1.mod.11	LASSOmin.1.mod.31	2004	243	218	213	245
LASSOmin.1.mod.22	LASSOmin.1.mod.9	2004	214	214	202	245
LASSOmin.1.mod.23	LASSOmin.1.mod.23	2004	172	172	172	253
LASSOmin.1.mod.21	LASSOmin.1.mod.41	2004	220	219	209	255
LASSOmin.1.mod.22	LASSOmin.1.mod.42	2004	214	204	201	255
LASSOmin.1.mod.21	LASSOmin.1.mod.31	2004	220	218	209	256
LASSOmin.1.mod.45	LASSOmin.1.mod.45	2004	181	181	181	262
LASSOmin.1.mod.42	LASSOmin.1.mod.42	2004	204	204	204	285
LASSOmin.1.mod.22	LASSOmin.1.mod.22	2004	214	214	214	294
LASSOmin.1.mod.9	LASSOmin.1.mod.9	2004	214	214	214	294
LASSOmin.1.mod.1	LASSOmin.1.mod.1	2004	215	215	215	295
LASSOmin.1.mod.31	LASSOmin.1.mod.31	2004	218	218	218	298
LASSOmin.1.mod.41	LASSOmin.1.mod.41	2004	219	219	219	299
LASSOmin.1.mod.11	LASSOmin.1.mod.11	2004	243	243	243	300
LASSOmin.1.mod.12	LASSOmin.1.mod.12	2004	238	238	238	300
LASSOmin.1.mod.21	LASSOmin.1.mod.21	2004	220	220	220	300
LASSOmin.1.mod.37	LASSOmin.1.mod.37	2004	238	238	238	300
LASSOmin.1.mod.38	LASSOmin.1.mod.38	2004	330	330	330	300
