user_gene_set	property_gene_set	universe_count	user_count	property_count	overlap_count	pval
VBSR.1.mod.11	VBSR.1.mod.41	2004	211	192	182	212
VBSR.1.mod.16	VBSR.1.mod.37	2004	198	183	175	213
VBSR.1.mod.25	VBSR.1.mod.47	2004	169	183	165	214
VBSR.1.mod.1	VBSR.1.mod.11	2004	188	211	182	217
VBSR.1.mod.25	VBSR.1.mod.5	2004	169	184	166	217
VBSR.1.mod.37	VBSR.1.mod.5	2004	183	184	175	228
VBSR.1.mod.1	VBSR.1.mod.41	2004	188	192	180	229
VBSR.1.mod.11	VBSR.1.mod.21	2004	211	202	193	234
VBSR.1.mod.11	VBSR.1.mod.31	2004	211	202	193	234
VBSR.1.mod.1	VBSR.1.mod.31	2004	188	202	185	236
VBSR.1.mod.31	VBSR.1.mod.41	2004	202	192	187	237
VBSR.1.mod.37	VBSR.1.mod.47	2004	183	183	177	237
VBSR.1.mod.1	VBSR.1.mod.21	2004	188	202	187	244
VBSR.1.mod.21	VBSR.1.mod.41	2004	202	192	189	244
VBSR.1.mod.47	VBSR.1.mod.5	2004	183	184	179	244
VBSR.1.mod.2	VBSR.1.mod.34	2004	213	200	197	248
VBSR.1.mod.28	VBSR.1.mod.34	2004	212	200	197	249
VBSR.1.mod.25	VBSR.1.mod.25	2004	169	169	169	250
VBSR.1.mod.34	VBSR.1.mod.44	2004	200	211	198	255
VBSR.1.mod.21	VBSR.1.mod.31	2004	202	202	197	259
VBSR.1.mod.28	VBSR.1.mod.44	2004	212	211	205	262
VBSR.1.mod.2	VBSR.1.mod.28	2004	213	212	206	263
VBSR.1.mod.37	VBSR.1.mod.37	2004	183	183	183	264
VBSR.1.mod.47	VBSR.1.mod.47	2004	183	183	183	264
VBSR.1.mod.2	VBSR.1.mod.44	2004	213	211	206	265
VBSR.1.mod.5	VBSR.1.mod.5	2004	184	184	184	265
VBSR.1.mod.1	VBSR.1.mod.1	2004	188	188	188	269
VBSR.1.mod.41	VBSR.1.mod.41	2004	192	192	192	273
VBSR.1.mod.16	VBSR.1.mod.16	2004	198	198	198	279
VBSR.1.mod.34	VBSR.1.mod.34	2004	200	200	200	281
VBSR.1.mod.21	VBSR.1.mod.21	2004	202	202	202	283
VBSR.1.mod.31	VBSR.1.mod.31	2004	202	202	202	283
VBSR.1.mod.11	VBSR.1.mod.11	2004	211	211	211	291
VBSR.1.mod.44	VBSR.1.mod.44	2004	211	211	211	291
VBSR.1.mod.28	VBSR.1.mod.28	2004	212	212	212	292
VBSR.1.mod.2	VBSR.1.mod.2	2004	213	213	213	293
VBSR.1.mod.17	VBSR.1.mod.17	2004	302	302	302	300
