key	reg	target	all.pearson	all.pearson.pvalue	nonresp.pearson	nonresp.pearson.pvalue	respond.pearson	respond.pearson.pvalue	all.spearman	all.spearman.pvalue	nonresp.spearman	nonresp.spearman.pvalue	respond.spearman	respond.spearman.pvalue	support	chip.evidence	num.chip.peaks	all.weights	nonresp.weights	respond.weights
g50||BACH1	BACH1	g50	-0.277766831561422	0.061619128671356	0.171243091107267	0.511081337576831	-0.341338200333568	0.0699594596430834	-0.207770582793709	0.165446385532416	0.156862745098039	0.546591209730735	-0.311330049261084	0.100422859082186	0	0	0	0	0	0
g51||BACH1	BACH1	g51	0.0883129815959568	0.559471906694174	0.382975913763602	0.129186923306267	0.11137879922473	0.565153030966244	0.0859081097748998	0.5691210250904	0.303921568627451	0.235017254877754	0.132512315270936	0.491572662281497	0	0	0	0	0	0
g52||BACH1	BACH1	g52	-0.0451834375002707	0.765575218498792	0.188428672158647	0.468905183438795	-0.0467675699140205	0.809629184703004	0.1349984582177	0.369852848119142	0.257352941176471	0.317403655085415	0.149753694581281	0.436466026465212	0	0	0	0	0	0
g53||BACH1	BACH1	g53	0.070550656302509	0.641279485280478	-0.28082280071476	0.274909077299288	0.0837254151866501	0.665885367438243	0.0720937403638606	0.632982866691284	-0.257352941176471	0.317403655085415	0.0832512315270936	0.666618222393822	0	0	0	0	0	0
g54||BACH1	BACH1	g54	-0.149328261189253	0.321935291771427	-0.353235459617322	0.164281589807877	-0.172397401387607	0.371175805090503	-0.120694440218968	0.424297028684259	-0.196198688011498	0.450421763885142	-0.128571428571429	0.504651722924303	0	0	0	0	0	0
g55||BACH1	BACH1	g55	-0.00185138695493793	0.990257154650704	0.257329141780254	0.318713981142058	0.0103918754929892	0.95733220857799	0.10527289546716	0.485013903254008	0.306372549019608	0.231112520460973	0.141871921182266	0.461223244405755	0	0	0	0	0	0
g56||BACH1	BACH1	g56	0.00381339805747826	0.979933715574763	-0.236723067254826	0.36030295801609	0.00297193614593574	0.98779254568371	-0.0510053041552287	0.736393033064573	-0.192638181819605	0.458845250286951	-0.0275862068965517	0.887290657624249	0	0	0	0	0	0
g57||BACH1	BACH1	g57	0.0144334901704209	0.924153176402983	0.0404407979297428	0.877528508466395	0.0254531613643921	0.895726959570551	0.0828245451742214	0.583113608672357	0.0906862745098039	0.72970303386179	0.0788177339901478	0.683471706090844	0	0	0	0	0	0
g59||BACH1	BACH1	g59	-0.199504785262883	0.183756465433681	0.32819834279898	0.198406373122962	-0.232073712772464	0.225739968596864	-0.120567375886525	0.423544633239966	0.313725490196078	0.219654866580788	-0.157635467980296	0.412460912532079	0	0	0	0	0	0
g6||BACH1	BACH1	g6	0.134338401020706	0.373413919464903	0.402341923774641	0.109362480602882	-2.17876675251926e-05	0.999910502201036	0.158556891766883	0.291564699040529	0.308823529411765	0.227250600711351	0.0482758620689655	0.803312646201591	0	0	0	0	0	0
g60||BACH1	BACH1	g60	-0.131419328561313	0.383981370097739	0.326072332236633	0.201502349583758	-0.149263838509305	0.439642353068159	-0.06068642267525	0.688686930156215	0.289393064816959	0.259897821660915	-0.0448275862068965	0.817184847798138	0	0	0	0	0	0
g62||BACH1	BACH1	g62	0.055199380365976	0.715592737888643	-0.0449893607722466	0.863867999746632	0.0760444469386882	0.69500862805809	-0.0228800493370336	0.879864003781448	-0.200980392156863	0.437747732973481	0.0334975369458128	0.863131182689009	0	0	0	0	0	0
g63||BACH1	BACH1	g63	-0.0250974720197385	0.868502608022386	0.0978012090045784	0.708830738876256	-0.0222989138209026	0.908591591374938	0.054209065679926	0.719732714971555	0.071078431372549	0.78743778557168	0.0285714285714286	0.883256495595661	0	0	0	0	0	0
g64||BACH1	BACH1	g64	-0.184679394426886	0.219189019462896	-0.154886453698955	0.552799383487267	-0.218402050739475	0.255035626390172	-0.131791551032994	0.38141327402708	-0.129901960784314	0.618661921909265	-0.117241379310345	0.543209477578135	0	0	0	0	0	0
g65||BACH1	BACH1	g65	0.0255984057862045	0.865901745569048	-0.182513940328426	0.483222643604371	0.0431138346250959	0.824263004840557	0.0124579851426834	0.934509968452716	-0.175352577410276	0.500837554856972	0.00147783251231527	0.994906729975292	0	0	0	0	0	0
g66||BACH1	BACH1	g66	0.0162184510535082	0.914805947373289	0.256812324709944	0.319721112932021	0.0194348688285193	0.920292335097207	0.142403404428	0.345133910535023	0.163090159409557	0.531689865248781	0.142364532019704	0.459654232258572	0	0	0	0	0	0
g67||BACH1	BACH1	g67	0.0349139450679237	0.817818843703676	-0.189128144676777	0.467226046822256	0.0674034736919111	0.728284954420945	-0.00326867927011001	0.98279958764766	-0.375229990821989	0.13777400793496	0.0118226600985222	0.952150491720426	0	0	0	0	0	0
g68||BACH1	BACH1	g68	-0.0399740228489335	0.791964001838684	0.172343656431025	0.508328366084462	-0.0495206242011095	0.798643790581431	0.0128893000308356	0.93229281579293	0.223039215686275	0.388034010485343	-0.114778325123153	0.551773627205334	0	0	0	0	0	0
g69||BACH1	BACH1	g69	-0.0640647037748857	0.672306162221734	-0.0937477120589423	0.720433617821998	-0.069779794108242	0.719082511524727	-0.0946771116806982	0.531401548110475	-0.095823385059764	0.714484750620911	0.038423645320197	0.843090698294561	0	0	0	0	0	0
g7||BACH1	BACH1	g7	0.169648216764087	0.259683936104679	0.149038348067926	0.568068330088146	0.186124368609686	0.333692040074643	0.153129818069689	0.308557618104558	0.176470588235294	0.496735820258108	0.148275862068965	0.441051254468035	0	0	0	0	0	0
g70||BACH1	BACH1	g70	-0.00529736418316114	0.972127651973366	0.129207254526328	0.621138682083181	-0.0120306570567731	0.950611128236903	0.00807893925377737	0.957652785041295	0.178921568627451	0.490666292162011	-0.101477832512315	0.599085688884462	0	0	0	0	0	0
g71||BACH1	BACH1	g71	-0.125261203582923	0.406846114237539	-0.327637498879671	0.19922005170097	-0.143855473438997	0.456577295924629	-0.0295405488744989	0.845180578432041	-0.321078431372549	0.208580093108783	0.058128078817734	0.764017377546866	0	0	0	0	0	0
g73||BACH1	BACH1	g73	-0.0300768656616228	0.842714847370638	-0.299390621239027	0.24304243907789	-0.0264758326661616	0.891561372546521	-0.0133826703669442	0.929695150079547	-0.284313725490196	0.26780426874511	0.074384236453202	0.7004778142379	0	0	0	0	0	0
